res1,res2,atom1,atom2,avg_distance,score,remove_atom1,remove_atom2,angle_i_ref_deg,angle_i_anchor,angle_j_ref_deg,angle_j_anchor,dihedral_1_ref_deg,dihedral_1_anchor_i,dihedral_1_anchor_j,dihedral_1_planar,dihedral_2_ref_deg,dihedral_2_anchor_i,dihedral_2_anchor_j,dihedral_2_planar,angle_tol_deg,dihedral_tol_deg
Asp,Ser,CG,OG,1.36,1,OD2,,119,CB,119,CB,180,OD1,CB,TRUE,0,CB,CB,TRUE,,
Asp,Thr,CG,OG1,1.36,1,OD2,,119,CB,119,CB,180,OD1,CB,TRUE,0,CB,CB,TRUE,,
Asp,Tyr,CG,OH,1.36,1,OD2,,119,CB,119,CZ,180,OD1,CZ,TRUE,0,CB,CZ,TRUE,,
Glu,Ser,CD,OG,1.36,1,OE2,,119,CG,119,CB,180,OE1,CB,TRUE,0,CG,CB,TRUE,,
Glu,Thr,CD,OG1,1.36,1,OE2,,119,CG,119,CB,180,OE1,CB,TRUE,0,CG,CB,TRUE,,
Glu,Tyr,CD,OH,1.36,1,OE2,,119,CG,119,CZ,180,OE1,CZ,TRUE,0,CG,CZ,TRUE,,
Asp,Lys,CG,NZ,1.33,1,OD2,,119,CB,121,CE,180,OD1,CE,TRUE,0,CB,CE,TRUE,,
Glu,Lys,CD,NZ,1.33,1,OE2,,119,CG,121,CE,180,OE1,CE,TRUE,0,CG,CE,TRUE,,
Asn,Lys,CG,NZ,1.33,1,ND2,,119,CB,121,CE,180,OD1,CE,TRUE,0,CB,CE,TRUE,,
Gln,Lys,CD,NZ,1.33,1,NE2,,119,CG,121,CE,180,OE1,CE,TRUE,0,CG,CE,TRUE,,
Cys,Cys,SG,SG,2.05,1,,,104.5,CB,104.5,CB,90,CB,CB,TRUE,90,CB,CB,TRUE,30,60
ALL,ALL,C,N,1.33,1,,,120,CA,120,CA,180,O,CA,TRUE,0,CA,CA,TRUE,,
Asp,ALL,CG,N,1.33,1,OD2,,119,CB,116,CA,180,OD1,CA,TRUE,0,CB,CA,TRUE,,
Glu,ALL,CD,N,1.33,1,OE2,,119,CG,116,CA,180,OE1,CA,TRUE,0,CG,CA,TRUE,,
Asn,ALL,CG,N,1.33,1,ND2,,119,CB,116,CA,180,OD1,CA,TRUE,0,CB,CA,TRUE,,
Gln,ALL,CD,N,1.33,1,NE2,,119,CG,116,CA,180,OE1,CA,TRUE,0,CG,CA,TRUE,,
ALL,Lys,C,NZ,1.33,1,,,121,CA,120,CE,180,O,CE,TRUE,0,CA,CE,TRUE,,
